label_quantile,target_high_rate,target,model,params,fold_id,chosen_threshold,validation_selected_macro_f1,validation_accuracy,validation_macro_f1,validation_f1_high,validation_f1_low,validation_precision_macro,validation_recall_macro,validation_auc_roc,validation_mcc,test_accuracy,test_macro_f1,test_f1_high,test_f1_low,test_precision_macro,test_recall_macro,test_auc_roc,test_mcc
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",1,0.5,0.7162385326996108,0.7444444444444445,0.7162385326996108,0.805702217529039,0.6267748478701826,0.737025097858623,0.7094387838145773,0.7981867899345682,0.4456108087963809,0.7013888888888888,0.655411135918937,0.5295404814004376,0.7812817904374364,0.6531850420355874,0.6582931639161276,0.750248488128041,0.31143631752535295
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",2,0.675,0.7436881283094161,0.7680555555555556,0.7436881283094161,0.6646586345381527,0.8227176220806794,0.7496600299870986,0.7394648829431438,0.8160451505016723,0.48901864936397804,0.7479166666666667,0.6192948301968418,0.39800995024875624,0.8405797101449275,0.6539481778324581,0.6093584238444052,0.6801187168476888,0.2595036036857739
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",3,0.525,0.5819463931177145,0.7673611111111112,0.5819463931177145,0.30353430353430355,0.8603584827011255,0.5757502723141065,0.5948199866003738,0.6836199364497259,0.16950091216035676,0.7576388888888889,0.6237531995876378,0.3993115318416523,0.8481948673336233,0.6301920016572973,0.6189653985590382,0.7051506355834978,0.24890434601556738
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",4,0.725,0.7350690875870731,0.8791666666666667,0.7350690875870731,0.5396825396825397,0.9304556354916067,0.8596109355954129,0.6907728040540541,0.821582691089527,0.5238472546536395,0.7888888888888889,0.5779715331310085,0.2796208530805687,0.8763222131814483,0.6573373676248109,0.5710711638250556,0.7587304253150482,0.2114913693772484
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",5,0.425,0.6460783807507616,0.6694444444444444,0.6460783807507616,0.5551401869158878,0.7370165745856354,0.6468024539877301,0.6688837445655242,0.7163096380780305,0.31491299205244566,0.6875,0.6856657773465923,0.6616541353383458,0.7096774193548387,0.6873952303148733,0.6917904362916297,0.7868905213822187,0.37916019295838527
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",6,0.575,0.7828456373605345,0.7986111111111112,0.7828456373605345,0.7243346007604563,0.8413566739606126,0.7796497341365396,0.7869702719797597,0.8201518026565466,0.5665727147127021,0.8722222222222222,0.7051229544685624,0.48314606741573035,0.9270998415213946,0.8513357899585444,0.6630591630591631,0.7260702260702261,0.4787004067822386
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",7,0.325,0.5558089754255429,0.7479166666666667,0.5558089754255429,0.26369168356997974,0.847926267281106,0.5521303258145364,0.5669642857142857,0.5873345404595405,0.11816717026693016,0.73125,0.6108377170654449,0.39436619718309857,0.8273092369477911,0.6045014090941937,0.6682870613672878,0.7139596690641,0.2652262056826408
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.1, ""class_weight"": ""balanced""}",8,0.575,0.6132897603485838,0.8027777777777778,0.6132897603485838,0.3425925925925926,0.8839869281045751,0.6124416282526765,0.614169626930524,0.6163688615816194,0.2266046667574941,0.7694444444444445,0.7152957094263037,0.5911330049261084,0.839458413926499,0.7176587000642818,0.7131469688860806,0.8136654163257897,0.4307820431280126
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",0,0.5,0.5987654320987654,0.8555555555555555,0.5987654320987654,0.2777777777777778,0.9197530864197531,0.590625,0.6105182926829269,0.6430128144054879,0.20015714101065935,0.7125,0.710686769510299,0.6877828054298643,0.7335907335907336,0.7102958332607825,0.7119789381307591,0.7863078348203403,0.4222714171143666
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",1,0.5,0.715696557801821,0.7423611111111111,0.715696557801821,0.8027644869750132,0.6286286286286287,0.733037713592244,0.7094102998144471,0.7956903707802988,0.44181669262908146,0.7020833333333333,0.6556059091550203,0.5290889132821076,0.7821229050279329,0.6535691674580564,0.6581675047716513,0.7503277326335667,0.31170275601412734
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",2,0.7,0.739755151893114,0.7673611111111112,0.739755151893114,0.654994850669413,0.8245154531168151,0.7504265322090669,0.7334866220735786,0.8135221571906355,0.4836165633354394,0.7479166666666667,0.6096631373161054,0.37735849056603776,0.8419677840661732,0.6522664921886658,0.6005178075271533,0.674463248295024,0.24743074954140284
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",3,0.525,0.5835137475644079,0.7625,0.5835137475644079,0.31048387096774194,0.8565436241610739,0.5767453605861008,0.6000211573045594,0.6829773812742184,0.17522739264826748,0.7611111111111111,0.6296196603052407,0.40893470790378006,0.8503046127067014,0.6361069724931452,0.6247189206553164,0.7072099720067917,0.2605771647939083
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",4,0.7,0.7342345298247916,0.875,0.7342345298247916,0.5408163265306123,0.927652733118971,0.8321905449296283,0.6943623310810811,0.8234236433699325,0.5081941702759573,0.7881944444444444,0.5886064981814196,0.30205949656750575,0.8751534997953336,0.6570720987625913,0.5790631949592291,0.757670612490734,0.22287774197637622
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",5,0.45,0.642061935587158,0.6722222222222223,0.642061935587158,0.538160469667319,0.7459634015069968,0.6398079329090613,0.6572299700750945,0.7136807633673987,0.2965265391667501,0.6819444444444445,0.6789963378949029,0.6482334869431644,0.7097591888466414,0.6791863343116437,0.683091848479524,0.7860040788203404,0.36225713062071696
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",6,0.575,0.7827964745137113,0.7993055555555556,0.7827964745137113,0.7229146692233941,0.8426782798040283,0.780339903729798,0.7857368753953194,0.8187265443811933,0.5660510511972472,0.8729166666666667,0.7060158973643844,0.48450704225352115,0.9275247524752476,0.8553964461807699,0.6634800384800386,0.7259332745443856,0.48207976392834073
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",7,0.325,0.5509915344491173,0.7493055555555556,0.5509915344491173,0.2525879917184265,0.8493950771798081,0.5478189621537262,0.5597839660339661,0.586936500999001,0.10693562940718811,0.7291666666666666,0.6064978306931692,0.3867924528301887,0.8262032085561497,0.6006516914952387,0.6614063274223336,0.7122591930809773,0.2549181819572093
0.67,0.24944844830122076,SOL,LogisticRegression,"{""C"": 0.3, ""class_weight"": ""balanced""}",8,0.575,0.6026850456020492,0.7993055555555556,0.6026850456020492,0.3231850117096019,0.8821850794944965,0.6028846264219383,0.6024873839398698,0.6156065618758672,0.20537162617669721,0.7736111111111111,0.7200214707461084,0.5975308641975309,0.842512077294686,0.7228108222985913,0.7175156960610726,0.8134225782799049,0.4402946790603677
