label_quantile,target_high_rate,model,params,mean_threshold,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_high,mean_test_f1_low,mean_test_precision_macro,mean_test_recall_macro,mean_test_auc_roc,mean_test_mcc,folds
0.67,0.24944844830122076,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.4861111111111111,0.6531738119644074,0.7621913580246914,0.044663780492636064,0.6615294781070639,0.044747478039717625,0.49289066198546194,0.8301682942286658,0.6964817036815358,0.6624312331933253,0.7503050113835648,0.350210795513117,9
0.67,0.24944844830122076,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.5027777777777778,0.6527685159489877,0.7575617283950618,0.050616431178829746,0.6606833811119475,0.047771332889389624,0.4968070587233592,0.8245597035005356,0.694446544583701,0.6645468587139398,0.749820226355929,0.35036194424382877,9
0.67,0.24944844830122076,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.5027777777777778,0.6520949832853148,0.7549382716049382,0.045609782634297595,0.6520838767473547,0.05033370393037569,0.48010460093028,0.8240631525644294,0.6937865537745243,0.6592205995882742,0.7505267566753742,0.340905002792332,9
0.67,0.24944844830122076,XGBoost,"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.31666666666666665,0.6515245779199701,0.7527777777777778,0.05497746101027045,0.6412423540887758,0.07459235165664813,0.45782228863662155,0.8246624195409301,0.6674153284399833,0.6397450774567274,0.737483887443983,0.3014825442457089,9
0.67,0.24944844830122076,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.5222222222222223,0.6514012571558917,0.7596450617283951,0.04924493099536232,0.6626374423471665,0.05460304936022555,0.49864766145246175,0.8266272232418712,0.6999375141560672,0.6686088191178156,0.7513599739160858,0.3579079983265753,9
0.67,0.24944844830122076,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.5222222222222223,0.6506740532008508,0.7574074074074074,0.05345756472990379,0.659410441662428,0.06041236039440458,0.4954202992158279,0.8234005841090279,0.7005651911454878,0.6683127759974596,0.7512210491659391,0.35668009011324386,9
0.67,0.24944844830122076,SVM,"{""C"": 0.3, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.5361111111111111,0.6506129966744013,0.7557098765432099,0.05762715093182977,0.6504415111391997,0.0527836310530246,0.4786909064700786,0.822192115808321,0.6741685179952275,0.6504377115137108,0.7544800479453999,0.32087923528252543,9
0.5,0.40614796293572586,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 40, ""n_estimators"": 400}",0.5,0.6492240439416761,0.6771604938271605,0.04126899996810713,0.6404324872937313,0.04360219288146341,0.5841696156524406,0.6966953589350219,0.6750946388920779,0.6468644741067093,0.7334143173075599,0.3182841599004384,9
0.5,0.40614796293572586,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.5,0.6482064567405323,0.676466049382716,0.0399448109282798,0.6398547806370811,0.04075421452241751,0.5846172611043712,0.6950923001697911,0.6742719780799188,0.6461081895019508,0.7329995498825581,0.31670426703056354,9
0.5,0.40614796293572586,RandomForest,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.4972222222222222,0.6481121666233992,0.672608024691358,0.03819935434210419,0.6361606410526135,0.03793677173045007,0.5830118985926347,0.6893093835125923,0.6741321759602172,0.644564056379706,0.7330067291993196,0.31475044435143773,9
0.5,0.40614796293572586,SVM,"{""C"": 3.0, ""class_weight"": ""balanced"", ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.47500000000000003,0.6465888120175536,0.6706018518518518,0.05250982785731576,0.6500025273221547,0.05031816865406935,0.6066010797389312,0.693403974905378,0.6548055690387922,0.6505328622195996,0.7101360106974376,0.3050957120143323,9
0.5,0.40614796293572586,LSTM,"{""batch_size"": 96, ""dropout"": 0.25, ""epochs"": 18, ""learning_rate"": 0.001, ""seq_len"": 24, ""units"": 48}",0.5194444444444444,0.6433645126070491,0.6670590081607031,0.0358436326345388,0.6329154008904667,0.038998470537775595,0.5658738320131085,0.6999569697678248,0.6541358201220162,0.6370755710514494,0.7038663251308188,0.2895695510478448,9
