params,folds,mean_coverage,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro,mean_test_f1_bull,mean_test_f1_bear,mean_test_precision_bull,mean_test_recall_bull,mean_test_bull_prediction_rate
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6072335367658538,0.6069998709721486,0.1358760340233401,0.5419469637744692,0.1540515485118588,0.5722035032271359,0.5728965276428197,0.6071723113657074,0.476721616183231,0.5710173494597204,0.7014431168438803,0.6515898929259505
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.607223375770514,0.5992826372203326,0.14946394943285926,0.5387243701773847,0.17470841560201184,0.5335560565286901,0.566783912608406,0.5599064056641461,0.5175423346906234,0.5307029658498893,0.6076393165783776,0.5664154422883997
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6070127448901863,0.6020891234029563,0.13077942882571053,0.519205305112208,0.16333902007269036,0.5293032799379891,0.5584829471718094,0.5787318056620173,0.45967880456239846,0.5349621778482042,0.656821472901657,0.6184354728621291
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.606904186704357,0.6041663803869418,0.1473967865047586,0.5447533940672513,0.17156677605375925,0.5485777584047759,0.5722793502410766,0.5756212004222566,0.513885587712246,0.5336797490487238,0.6385103290848106,0.5911179662427503
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6068480121686145,0.5893328049088258,0.12125673391293819,0.5520852291333734,0.12619884077563506,0.5639980644897384,0.5682892385250672,0.6280901199436861,0.4760803383230606,0.5797491035789372,0.6964224982135128,0.639747404768838
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.606715056120954,0.6006865667434453,0.1331699486815619,0.5490183760678106,0.14295357052717358,0.5740603310499524,0.5706421297046914,0.5950251031014584,0.5030116490341627,0.5805745064063103,0.6540462338694473,0.6026181411414981
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6062538543786868,0.5958459860804227,0.12134118590643325,0.5227460563465505,0.13999695627272316,0.5519366598528118,0.5589298359870662,0.6092862498840397,0.4362058628090613,0.5834424291528979,0.7014155001659178,0.6589736688315772
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6061020531572219,0.5959340619334443,0.13136882015118242,0.5329897114700893,0.15050866127213547,0.5429170349009081,0.5606940335866633,0.5765731290853062,0.48940629385487233,0.5258799868059427,0.6521769940171818,0.6122806810177721
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6058950136333398,0.6065866896776106,0.12944969621956143,0.5313964019779194,0.15413780270139865,0.5591777587732458,0.5646803609236146,0.5980989864396835,0.4646938175161554,0.5724235863538459,0.6790146366479938,0.6338617427705827
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6058236492812946,0.599909389787,0.11726558226584075,0.5459149073906467,0.13328460233950132,0.5629475602893396,0.5729537343762912,0.5982830507052205,0.4935467640760731,0.5839630104529686,0.6564038754007018,0.6031249749506085
